aX,aY,aZ,gX,gY,gZ
0.993,1.068,0.368,-54.626,48.096,-135.681
0.977,1.076,0.378,-61.279,51.514,-141.357
0.956,1.091,0.370,-67.017,55.237,-149.170
0.939,1.098,0.370,-69.885,57.983,-160.034
0.880,1.080,0.364,-70.251,58.655,-173.462
0.831,1.033,0.365,-70.801,59.937,-188.171
0.770,0.965,0.352,-73.608,61.768,-201.416
0.703,0.888,0.342,-78.369,65.430,-211.914
0.646,0.814,0.311,-81.970,69.214,-220.459
0.548,0.751,0.267,-83.435,72.937,-226.257
0.571,0.684,0.302,-84.351,75.073,-229.614
0.510,0.660,0.275,-89.050,72.754,-230.835
0.482,0.611,0.283,-95.642,76.294,-229.797
0.487,0.552,0.272,-103.699,79.773,-231.506
0.432,0.508,0.288,-108.459,83.252,-235.291
0.380,0.435,0.297,-109.924,84.656,-240.540
0.324,0.349,0.305,-108.398,81.787,-246.887
0.296,0.259,0.296,-104.004,73.914,-253.784
0.293,0.209,0.251,-98.755,64.087,-260.193
0.256,0.154,0.218,-94.849,58.838,-262.939
0.250,0.104,0.229,-94.910,60.852,-260.864
0.275,0.048,0.259,-99.854,64.636,-254.089
0.248,-0.034,0.273,-107.666,64.209,-243.958
0.224,-0.108,0.276,-117.554,63.232,-233.704
0.212,-0.135,0.257,-122.375,62.500,-228.027
0.194,-0.175,0.254,-120.911,61.890,-224.670
0.185,-0.211,0.247,-115.906,62.134,-222.778
0.183,-0.218,0.229,-111.084,64.209,-220.764

-0.430,-2.029,0.553,-88.379,19.470,-189.087
-0.473,-2.148,0.509,-77.454,31.677,-163.086
-0.542,-2.229,0.465,-69.458,46.204,-131.104
-0.622,-2.285,0.444,-65.674,52.429,-97.656
-0.670,-2.336,0.436,-62.012,46.631,-64.697
-0.676,-2.380,0.472,-53.589,31.921,-34.668
-0.635,-2.382,0.528,-41.138,13.428,-6.226
-0.570,-2.333,0.580,-26.794,-3.479,24.292
-0.456,-2.246,0.651,-10.925,-14.465,55.908
-0.307,-2.116,0.696,4.761,-21.240,83.679
-0.179,-1.964,0.718,19.348,-23.132,107.605
-0.075,-1.773,0.684,29.663,-20.996,126.282
0.014,-1.585,0.638,36.621,-18.494,139.954
0.071,-1.446,0.604,43.152,-16.846,147.888
0.097,-1.334,0.563,50.781,-16.357,149.414
0.106,-1.279,0.538,60.059,-18.799,145.935
0.097,-1.282,0.510,69.641,-24.963,140.808
0.107,-1.305,0.485,79.895,-30.884,137.024
0.131,-1.361,0.458,89.966,-36.621,138.916
0.116,-1.387,0.442,97.107,-42.175,147.827
0.119,-1.351,0.428,101.074,-43.335,160.217
0.146,-1.289,0.409,104.309,-39.551,175.476
0.150,-1.188,0.395,106.262,-32.471,193.298
0.141,-1.011,0.371,106.689,-24.292,210.999
0.149,-0.960,0.330,106.812,-15.259,226.990
0.148,-0.847,0.335,106.384,-7.202,235.657
0.116,-0.767,0.302,106.812,-8.972,237.915
0.125,-0.728,0.249,110.413,-16.907,237.671
0.127,-0.674,0.225,117.737,-24.536,238.037
0.131,-0.614,0.207,125.610,-31.860,240.723
0.178,-0.553,0.206,132.141,-37.964,246.460
0.226,-0.450,0.207,135.132,-40.527,257.263
0.243,-0.307,0.208,132.324,-38.269,272.705
0.269,-0.162,0.218,125.000,-33.630,286.438
0.295,-0.029,0.223,116.821,-28.687,294.800
0.304,0.082,0.215,110.657,-22.949,296.997
0.301,0.152,0.184,108.093,-17.700,292.114
0.321,0.191,0.141,110.046,-17.456,281.189
0.322,0.209,0.130,115.601,-21.606,269.531
0.314,0.237,0.133,122.803,-29.297,259.521
0.318,0.266,0.150,128.113,-39.490,251.343
0.337,0.303,0.168,128.906,-47.180,247.192
0.416,0.371,0.197,127.319,-50.659,246.033
0.442,0.419,0.213,122.009,-51.514,248.962
0.480,0.488,0.229,114.685,-46.814,252.930
0.509,0.558,0.229,106.812,-40.894,253.601
0.531,0.630,0.236,101.257,-35.706,249.695
0.538,0.682,0.217,99.121,-33.142,240.417
0.520,0.687,0.167,98.572,-33.508,225.586
0.505,0.672,0.126,99.182,-37.170,207.764
0.520,0.622,0.114,101.135,-43.701,192.261
0.536,0.589,0.129,102.295,-51.270,183.777
0.562,0.607,0.192,98.816,-54.749,182.922
0.624,0.654,0.243,92.346,-54.382,185.120
0.657,0.723,0.264,84.717,-50.842,187.744
0.672,0.785,0.271,78.430,-44.495,186.890
0.656,0.797,0.270,75.562,-37.048,181.091
0.705,0.848,0.275,77.271,-30.029,168.762
