aX,aY,aZ,gX,gY,gZ
0.520,0.010,1.046,-27.466,34.912,37.964
0.456,0.066,1.083,-8.728,29.602,41.443
0.443,0.136,1.127,10.254,26.001,43.274
0.513,0.162,1.139,21.484,22.522,43.396
0.546,0.220,1.156,26.001,20.874,42.847
0.558,0.243,1.166,24.780,23.743,39.917
0.642,0.198,1.119,19.531,30.273,35.339
0.732,0.130,1.070,15.381,37.170,30.762
0.689,0.099,1.025,14.343,40.894,28.870
0.683,0.045,0.969,17.578,44.250,28.381
0.673,0.025,0.905,24.719,45.227,27.832
0.673,0.040,0.824,34.668,44.067,26.062
0.684,0.096,0.759,42.114,41.565,24.170
0.697,0.161,0.739,46.631,37.720,22.095
0.737,0.162,0.744,47.791,34.180,19.348
0.799,0.201,0.729,43.030,32.349,16.235
0.792,0.203,0.708,35.095,30.396,13.367
0.794,0.208,0.677,25.635,27.893,6.958
0.794,0.231,0.621,14.771,24.231,-0.732
0.776,0.229,0.600,9.399,18.677,-8.362
0.758,0.185,0.605,8.423,11.475,-17.334
0.727,0.107,0.627,7.324,4.333,-25.818
0.703,0.047,0.671,3.723,-0.549,-31.189
0.692,-0.013,0.714,0.854,-3.418,-34.790
0.656,-0.052,0.764,0.488,-5.554,-36.133
0.608,-0.043,0.791,1.770,-8.545,-35.767
0.562,-0.032,0.838,2.563,-12.756,-35.217
0.513,-0.041,0.919,0.854,-16.907,-35.706
0.513,-0.074,1.010,-4.700,-19.836,-36.682
0.554,-0.140,1.093,-12.085,-20.691,-36.926
0.636,-0.213,1.142,-19.226,-19.104,-34.729
0.762,-0.251,1.167,-25.085,-17.212,-30.273
0.923,-0.241,1.153,-26.611,-16.296,-25.146
